Gene stable ID	Gene name	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)
ENSDARG00000112040		10	21861451	21890216
ENSDARG00000112944		14	1595725	1635296
ENSDARG00000111147	tsn	ALT_CTG9_2_4	461276	469436
ENSDARG00000110858		ALT_CTG2_1_9	180690	195967
ENSDARG00000114739		ALT_CTG18_2_1	44057	53077
ENSDARG00000110970		ALT_CTG23_1_15	387428	394100
ENSDARG00000038305	vgll3	9	19007959	19016295
ENSDARG00000114155		ALT_CTG6_1_41	221579	268490
ENSDARG00000116503		24	26658132	26659574
ENSDARG00000113045		8	426828	436137
ENSDARG00000006963	cse1l	11	5468629	5493191
ENSDARG00000114118	zgc:112980	ALT_CTG1_1_1	7762	17553
ENSDARG00000114467	nanp	ALT_CTG13_1_29	118657	121202
ENSDARG00000100483	vent	13	50607664	50614639
ENSDARG00000113411	lrrc4ca	25	9678421	9805269
ENSDARG00000116236		1	26012668	26045715
ENSDARG00000115108	cfap90	19	27589201	27608549
ENSDARG00000101369		KN150164.1	4431	10422
ENSDARG00000101256		KN150670.1	733	23795
ENSDARG00000112034		1	48581374	48615105
ENSDARG00000104294		KN149695.1	52148	103348
ENSDARG00000113553		ALT_CTG12_1_27	1412	10503
ENSDARG00000091563	snw1	20	5378841	5400395
ENSDARG00000098724	rgrb	12	48965049	48970299
ENSDARG00000112084	copz2	ALT_CTG3_1_16	103936	117371
ENSDARG00000104284		1	56755536	56760851
ENSDARG00000060434	map1b	5	35270859	35301800
ENSDARG00000102123	phtf2	4	31259	45642
ENSDARG00000113658	si:dkey-148a17.6	ALT_CTG7_1_29	54585	55655
ENSDARG00000116998	slc25a17	ALT_CTG3_1_17	159122	167093
ENSDARG00000109430	ptger4b	ALT_CTG5_1_30	226486	231612
ENSDARG00000116974	cdh15	ALT_CTG7_1_42	605959	621501
ENSDARG00000105958	5S_rRNA	24	21629725	21629840
ENSDARG00000112681	wu:fj30f06	KZ116034.1	24596	26356
ENSDARG00000045666	ANKRD50	14	467104	470505
ENSDARG00000115848	nedd8l	ALT_CTG2_1_3	332363	332810
ENSDARG00000107479	5S_rRNA	18	24642987	24643102
ENSDARG00000111727	spns1	ALT_CTG3_1_9	111093	125924
ENSDARG00000116709	tmem54b	ALT_CTG19_1_6	65088	74716
ENSDARG00000114571	sox1a	ALT_CTG9_2_3	49945	50955
ENSDARG00000085791	5S_rRNA	15	31547734	31547852
ENSDARG00000114759		19	31591524	31591540
ENSDARG00000058605	vsig10	5	12562188	12587053
ENSDARG00000085946	5S_rRNA	23	42502565	42502690
ENSDARG00000090943		15	454349	462783
ENSDARG00000101338		14	2046786	2050057
ENSDARG00000111548		ALT_CTG23_1_17	15235	32229
ENSDARG00000069318	EFR3B	20	42918755	42959779
ENSDARG00000111958	5S_rRNA	18	8397209	8397325
ENSDARG00000115721	elapor1	ALT_CTG8_1_9	44744	66848
ENSDARG00000116357		ALT_CTG5_1_61	28342	34774
ENSDARG00000110471	5S_rRNA	18	27306924	27307040
ENSDARG00000099318		KN149688.2	220107	252015
ENSDARG00000113236	5S_rRNA	5	46738081	46738197
ENSDARG00000105300		6	24296039	24301324
ENSDARG00000116436	stil	ALT_CTG22_1_2	268338	279525
ENSDARG00000109909	tmem107l	ALT_CTG23_1_29	443558	447174
ENSDARG00000103935	rab27a	18	2228737	2266585
ENSDARG00000111730	adrb2b	ALT_CTG21_1_19	81193	82422
ENSDARG00000076386	epdl1	7	1045637	1057216
ENSDARG00000115661	SAMD12	19	46724211	46737822
ENSDARG00000084946	5S_rRNA	15	43829389	43829517
ENSDARG00000112469	atp5if1b	ALT_CTG17_1_18	175504	176490
ENSDARG00000104905		KN149711.1	21	7935
ENSDARG00000084441	5S_rRNA	23	27580164	27580292
ENSDARG00000114735	ppfibp1b	ALT_CTG18_2_4	11830	73933
ENSDARG00000109446		ALT_CTG6_1_22	152111	172751
ENSDARG00000078927		5	53479576	53484789
ENSDARG00000112660		ALT_CTG9_2_7	357	1328
ENSDARG00000115420	5S_rRNA	6	48604823	48604937
ENSDARG00000113326	leng8	ALT_CTG16_2_1	215176	220916
ENSDARG00000101743	cfap68	5	57646919	57652168
ENSDARG00000055279		10	39178450	39198942
ENSDARG00000042803	rab3c	ALT_CTG8_2_1	325564	333679
ENSDARG00000111469	5S_rRNA	11	17328565	17328681
ENSDARG00000114059	rps27a	ALT_CTG6_1_2	153996	156530
ENSDARG00000106522	LRRTM4	8	5844174	5850472
ENSDARG00000114290	5S_rRNA	25	24684964	24685078
ENSDARG00000117017	nek8	ALT_CTG15_1_9	40059	76805
ENSDARG00000008322	ambra1a	7	39255781	39360325
ENSDARG00000116017	dlx2b	ALT_CTG1_1_34	134554	135635
ENSDARG00000035632	ccl19a.2	5	13373593	13376424
ENSDARG00000100104	anxa14	19	48290786	48308400
ENSDARG00000109707	5S_rRNA	17	36614315	36614432
ENSDARG00000114841	CNNM4	KN150361.1	20035	50303
ENSDARG00000117090	dhx57	ALT_CTG13_2_1	165286	197508
ENSDARG00000116069	si:ch211-98n17.5	ALT_CTG7_1_28	223039	227284
ENSDARG00000116381	capn12	ALT_CTG18_1_39	170744	216326
ENSDARG00000045978	chchd6b	6	1494817	1514767
ENSDARG00000113184	5S_rRNA	13	20248893	20249009
ENSDARG00000117105		21	28535203	28568094
ENSDARG00000114033	mphosph8	ALT_CTG9_1_8	23511	48752
ENSDARG00000115759	5S_rRNA	5	64857844	64857958
ENSDARG00000010729		10	4367430	4375190
ENSDARG00000083520	U6	9	21204616	21204722
ENSDARG00000116738	lrrc39	ALT_CTG22_1_3	13997	17139
ENSDARG00000098736		12	44009628	44018667
ENSDARG00000112504	dkk1b	ALT_CTG12_1_2	87182	88876
ENSDARG00000076380		20	45620076	45622385
ENSDARG00000109939	U3	20	3327390	3327605
ENSDARG00000046157	RPS17	25	192116	196950
ENSDARG00000117170	5S_rRNA	11	38588451	38588566
ENSDARG00000114977		KZ116064.1	67457	82859
ENSDARG00000102514	cxcl11.3	5	42882679	42883761
ENSDARG00000116932	cyp2x9	ALT_CTG25_1_10	236621	243302
ENSDARG00000114411	prok1	ALT_CTG8_1_10	242990	249287
ENSDARG00000109264	SNORD24	5	33285526	33285597
ENSDARG00000114868	mtnr1aa	ALT_CTG1_2_1	204425	293907
ENSDARG00000108420	U6	4	42443560	42443627
ENSDARG00000109684	usf1l	ALT_CTG5_1_20	156054	166452
ENSDARG00000116502	mcfd2	ALT_CTG13_1_5	358287	365091
ENSDARG00000113874	Metazoa_SRP	11	12493892	12494179
ENSDARG00000014565	eif4e1b	5	67785991	67799821
ENSDARG00000103715		5	42542252	42544522
ENSDARG00000081661	mir206-2	17	5967249	5967346
ENSDARG00000104637	fam219b	18	814328	828003
ENSDARG00000113076		12	43848634	44024244
ENSDARG00000082257	mir219-1	10	10329464	10329554
ENSDARG00000112672	cnot6l	ALT_CTG5_1_37	114379	138990
ENSDARG00000067801		21	2780907	2814709
ENSDARG00000110647	rxfp2a	ALT_CTG10_1_31	183480	300456
ENSDARG00000116925	acte1	ALT_CTG25_1_7	180490	192000
ENSDARG00000112473		4	67318419	67331683
ENSDARG00000038585	eif4e2	2	45116819	45135618
ENSDARG00000098640		9	537297	549183
ENSDARG00000017813	pigs	21	39583458	39604628
ENSDARG00000112269	pkn3	ALT_CTG5_1_24	144520	170991
ENSDARG00000110556		ALT_CTG22_1_7	51899	52216
ENSDARG00000099871	myo7aa	18	3367779	3473081
ENSDARG00000110712	adprs	ALT_CTG17_1_25	514312	521222
ENSDARG00000029994		ALT_CTG25_2_2	158432	161746
ENSDARG00000114069	tlx3b	ALT_CTG10_1_20	345219	349681
ENSDARG00000040633	PRMT8	18	11506561	11549906
ENSDARG00000113331	zc3h13	ALT_CTG1_1_31	332	28327
ENSDARG00000102810	samd1a	3	49425793	49447949
ENSDARG00000115300	spon2a	ALT_CTG14_1_14	75696	103774
ENSDARG00000112542	cul5a	ALT_CTG15_2_2	110709	131923
ENSDARG00000116582	pabir2	ALT_CTG14_1_25	86457	100993
ENSDARG00000117061	paqr3a	ALT_CTG5_1_37	504648	518430
ENSDARG00000103638	nectin3a	15	14861335	14964241
ENSDARG00000113507	polr2m	ALT_CTG7_1_26	256101	258828
ENSDARG00000110686	or41a2	ALT_CTG10_1_33	40397	41374
ENSDARG00000103255		23	31972384	31974060
ENSDARG00000074029		9	16823285	16824175
ENSDARG00000115877	zgc:198329	ALT_CTG16_1_5	30497	39036
ENSDARG00000111886	si:ch73-234b20.5	ALT_CTG10_2_1	40602	44516
ENSDARG00000109528	krt18a.1	ALT_CTG23_1_2	255711	259161
ENSDARG00000111034	dguok	ALT_CTG5_2_15	3756	8569
ENSDARG00000074867	stim2a	1	14466860	14488074
ENSDARG00000115336	ftr11	ALT_CTG2_1_7	204693	209019
ENSDARG00000109591		11	394493	396724
ENSDARG00000011724	marveld1	13	39532050	39533365
ENSDARG00000113515	apela	ALT_CTG1_1_15	207871	210777
ENSDARG00000116562		ALT_CTG21_1_3	8046	260449
ENSDARG00000098063	alp3	15	44618623	44637492
ENSDARG00000113315		12	46098784	46112892
ENSDARG00000086172	ACVR1C	9	5271524	5318873
ENSDARG00000102274	aaas	9	205248	216527
ENSDARG00000114525	lim2.1	ALT_CTG10_1_29	105383	109569
ENSDARG00000103716	mhc2dga	8	36283548	36287046
ENSDARG00000114655	tmcc1b	ALT_CTG11_1_14	139806	167050
ENSDARG00000100065		9	45143942	45149695
ENSDARG00000111362		12	7699632	7710563
ENSDARG00000113602	slc27a4	ALT_CTG10_1_11	42534	73857
ENSDARG00000111511	si:ch211-113e8.11	ALT_CTG1_1_41	94407	98392
ENSDARG00000115762		13	866293	869808
ENSDARG00000106565		KN150616.1	78145	79086
ENSDARG00000116281	ubac2	ALT_CTG1_1_32	421369	431978
ENSDARG00000117177	fgfbp2b	ALT_CTG1_2_6	20515	21354
ENSDARG00000104727	ino80da	9	1187805	1200187
ENSDARG00000101146		11	45187798	45199251
ENSDARG00000110687	fzd8b	ALT_CTG2_1_11	77299	79029
ENSDARG00000100088	st14	15	37022018	37104165
ENSDARG00000114201	prf1.6	ALT_CTG8_2_5	170965	175998
ENSDARG00000104049	crebl2	4	121709	125402
ENSDARG00000103309		22	9764731	9768550
ENSDARG00000060035	rnf32	7	40715756	40738774
ENSDARG00000099199	itchb	23	43535224	43595956
ENSDARG00000111314	zgc:152658	ALT_CTG1_1_41	121384	126175
ENSDARG00000029692	rufy3	5	42912966	42933814
ENSDARG00000110224	ognb	ALT_CTG23_1_16	7642	10879
ENSDARG00000110003		3	7152770	7170661
ENSDARG00000111073	slc23a4	ALT_CTG18_1_9	200974	217672
ENSDARG00000109275	pdx1	ALT_CTG24_1_8	353358	355497
ENSDARG00000009390	npl	8	19489854	19500354
ENSDARG00000027978	yy1b	20	54419592	54435287
ENSDARG00000109164		KN150411.1	7221	10795
ENSDARG00000100349	prkacaa	3	49459828	49504023
ENSDARG00000100359	arel1	17	49484640	49530045
ENSDARG00000113446		ALT_CTG6_3_6	161140	177607
ENSDARG00000079064		15	47100392	47107557
ENSDARG00000114207	frem3	ALT_CTG1_2_13	22813	61864
ENSDARG00000110055		16	31977693	31980948
ENSDARG00000078772	nbr1b	3	32933663	32952050
ENSDARG00000109236	hspb8	ALT_CTG5_1_10	327316	344256
ENSDARG00000109493	gtf2a2	ALT_CTG7_2_4	58315	62475
ENSDARG00000112651		KN147637.2	107459	118708
ENSDARG00000110676	nitr3a	ALT_CTG7_1_11	174376	178581
ENSDARG00000109386	mrpl49	ALT_CTG10_1_25	210307	213088
ENSDARG00000003197		16	3185541	3189799
ENSDARG00000083501	5S_rRNA	6	11202009	11202126
ENSDARG00000116124	phb2b	ALT_CTG6_2_9	253295	259992
ENSDARG00000115117		ALT_CTG1_1_23	131377	145462
ENSDARG00000113589	ccdc3a	ALT_CTG4_1_3	94086	115982
ENSDARG00000083950	SNORD83A	3	29868635	29868732
ENSDARG00000115400	orc1	ALT_CTG6_2_12	242754	256430
ENSDARG00000115922	msmo1	ALT_CTG1_2_3	10932	19812
ENSDARG00000110468	trim25	ALT_CTG6_1_14	249827	261020
ENSDARG00000111479	stab2	ALT_CTG4_1_5	53014	98360
ENSDARG00000088663	lman2lb	5	26884676	26893310
ENSDARG00000091466	5S_rRNA	19	32330513	32330630
ENSDARG00000109271		12	46425800	46447830
ENSDARG00000110598		ALT_CTG8_1_10	325307	331365
ENSDARG00000104153	prkd4	7	6879534	6908640
ENSDARG00000101752	plekhg5b	23	37579107	37720166
ENSDARG00000098655	KIF1C	5	68228268	68259747
ENSDARG00000086093	5S_rRNA	25	10203220	10203338
ENSDARG00000059125	prkacbb	2	1594344	1622641
ENSDARG00000117098	5S_rRNA	23	17501314	17501428
ENSDARG00000108372		12	48744016	48767794
ENSDARG00000116772	5S_rRNA	17	39692582	39692696
ENSDARG00000099298	xrcc5	9	52558181	52598343
ENSDARG00000110730	zgc:101772	ALT_CTG17_1_14	361093	364590
ENSDARG00000104175	USP30	KN150350.1	486	9210
ENSDARG00000109254	U6	4	57965196	57965302
ENSDARG00000111195	gig2k	ALT_CTG21_1_14	75580	87270
ENSDARG00000109966	mpdu1a	ALT_CTG5_1_14	195866	200510
ENSDARG00000115097	socs7	ALT_CTG11_1_4	120452	161217
ENSDARG00000113511	tmem119b	ALT_CTG5_1_24	189666	190550
ENSDARG00000113941		KN147637.2	117568	131208
ENSDARG00000082600	5S_rRNA	10	38376134	38376253
ENSDARG00000100357		22	8157374	8174244
ENSDARG00000114549	fis1	7	20859437	20865005
ENSDARG00000111976	5S_rRNA	6	21824400	21824516
ENSDARG00000097660	trappc2	9	54710916	54716390
ENSDARG00000110558	zgc:158343	ALT_CTG5_1_4	204048	204674
ENSDARG00000104528	cldn10b	9	156142	159438
ENSDARG00000114882	mocs2	ALT_CTG10_1_7	22140	23826
ENSDARG00000100600	5S_rRNA	1	24114525	24114558
ENSDARG00000099111	zgc:175280	5	67812062	67834257
ENSDARG00000045254	zmp:0000000624	24	37700259	37708345
ENSDARG00000112154	dpp7	ALT_CTG5_2_5	103022	119911
ENSDARG00000098556	5S_rRNA	KN150345.1	9178	9292
ENSDARG00000110793	ier5l	ALT_CTG5_1_25	293125	294030
ENSDARG00000113449		ALT_CTG25_1_17	150721	159494
ENSDARG00000116434	chrna6	ALT_CTG1_2_5	372693	402253
ENSDARG00000115397		ALT_CTG5_2_14	58818	69378
ENSDARG00000114915	U6	4	46463459	46463565
ENSDARG00000102772	KLHDC3	13	51981764	51988216
ENSDARG00000112210	Metazoa_SRP	11	12440656	12440952
ENSDARG00000109790	slc6a15	ALT_CTG18_2_5	51921	80259
ENSDARG00000110569		ALT_CTG21_1_5	189048	195956
ENSDARG00000103164	upk2	5	58665648	58676993
ENSDARG00000110206		2	243778	250511
ENSDARG00000102587	mios	16	47272825	47301376
ENSDARG00000115767	mrpl45	ALT_CTG11_1_30	12037	20665
ENSDARG00000101441	lima1a	23	36460239	36488629
ENSDARG00000112716	Metazoa_SRP	11	11372886	11373182
ENSDARG00000090486		25	135932	169291
ENSDARG00000089720		22	8295097	8306743
ENSDARG00000110083		ALT_CTG5_1_25	2155	4197
ENSDARG00000111722		2	59135878	59145027
ENSDARG00000116764		ALT_CTG10_1_20	194671	200383
ENSDARG00000087767		7	71385513	71389375
ENSDARG00000083269	mir218b	10	17695265	17695340
ENSDARG00000104264	xkr4	2	27670284	27775236
ENSDARG00000083336	mir210	25	25506483	25506555
ENSDARG00000079780		5	61799629	61820009
ENSDARG00000058631		12	4533921	4540564
ENSDARG00000113915	taar12g	ALT_CTG20_2_3	52767	53777
ENSDARG00000098943	dre-mir-7148	2	57103401	57103485
ENSDARG00000025309	dpf3	20	28434196	28501429
ENSDARG00000111557	SNORD15	18	3044053	3044201
ENSDARG00000115820		ALT_CTG5_1_13	249169	260464
ENSDARG00000110525	zgc:109982	ALT_CTG6_1_18	283979	294024
ENSDARG00000109945	gamt	ALT_CTG11_1_2	62085	70500
ENSDARG00000109694	hecw1b	ALT_CTG2_2_2	5472	66322
ENSDARG00000109875		ALT_CTG7_1_5	69268	151971
ENSDARG00000115469		ALT_CTG23_2_4	32444	86908
ENSDARG00000102905	mir219-3	19	18861739	18861880
ENSDARG00000102093	5S_rRNA	5	16898923	16899047
ENSDARG00000114846	gnpda1	ALT_CTG14_2_4	190272	194148
ENSDARG00000111153	capn2l	ALT_CTG22_1_29	41811	71246
ENSDARG00000101156	slco1f2	4	77286165	77304374
ENSDARG00000104832		9	54158387	54163896
ENSDARG00000001817		2	55199721	55215510
ENSDARG00000100507	5S_rRNA	1	11062524	11062647
ENSDARG00000081351	5S_rRNA	10	30736148	30736268
ENSDARG00000116740	tmem192	ALT_CTG1_1_15	186815	202225
ENSDARG00000111114		18	27590442	27628784
ENSDARG00000109300	ecpas	ALT_CTG1_1_15	100691	136417
ENSDARG00000110023	ccl34b.9	ALT_CTG24_1_15	315665	329492
ENSDARG00000116337	cxcl11.6	ALT_CTG5_1_42	302752	303414
ENSDARG00000110387	eri1	ALT_CTG21_1_11	36695	44236
ENSDARG00000110884		ALT_CTG24_1_14	51748	124920
ENSDARG00000101366	cmklr2	9	1235778	1236848
ENSDARG00000036864	slc34a2b	23	1078072	1104995
ENSDARG00000107444	hrh2a	14	1687357	1688712
ENSDARG00000091552	U1	20	47106094	47106257
ENSDARG00000100155		7	2797795	2808399
ENSDARG00000087117	5S_rRNA	21	44282826	44282943
ENSDARG00000103037		16	5607138	5612480
ENSDARG00000111317	krt18a.2	ALT_CTG23_1_2	260696	263071
ENSDARG00000107203	5S_rRNA	11	6862252	6862368
ENSDARG00000058257	slc39a1	7	13896769	13906409
ENSDARG00000084136	5S_rRNA	7	13340143	13340268
ENSDARG00000115583	tfpi2	ALT_CTG19_1_10	212915	218949
ENSDARG00000101063		5	4533244	4547917
ENSDARG00000116426		ALT_CTG9_1_9	116644	128014
ENSDARG00000098516	5S_rRNA	5	47748248	47748370
ENSDARG00000042401	derl2	5	58996765	59012599
ENSDARG00000084393	5S_rRNA	25	25206625	25206753
ENSDARG00000109505	cremb	ALT_CTG24_1_19	184456	190595
ENSDARG00000090988		9	54219304	54248182
ENSDARG00000113212	zgc:174357	ALT_CTG11_1_5	172924	174568
ENSDARG00000111770	ttc33	ALT_CTG5_1_30	252641	284537
ENSDARG00000115754	mrrf	ALT_CTG10_1_8	92951	122075
ENSDARG00000116140	abcc2	ALT_CTG13_1_1	54769	88150
ENSDARG00000102815		ALT_CTG5_1_52	80437	83789
ENSDARG00000112307	5S_rRNA	25	68423	68538
ENSDARG00000077018	socs7	11	12009735	12051805
ENSDARG00000091326	CEP120	8	247163	286323
ENSDARG00000115542	cfd	ALT_CTG13_1_13	188645	191148
ENSDARG00000069244	si:ch211-244b2.3	4	26082530	26095766
ENSDARG00000016754	tbca	21	7545062	7570765
ENSDARG00000110322	5S_rRNA	8	15916210	15916327
ENSDARG00000020483	lta	15	34675660	34681272
ENSDARG00000113776	5S_rRNA	20	22910198	22910312
ENSDARG00000094832	F13A1	24	2470061	2480898
ENSDARG00000089886	si:dkey-19e4.5	6	21861087	21873266
ENSDARG00000112895		6	1808039	1820606
ENSDARG00000114518	lmo3	ALT_CTG4_1_7	248547	309211
ENSDARG00000110582	5S_rRNA	17	2165656	2165770
ENSDARG00000113948	synm	ALT_CTG18_2_8	46785	56188
ENSDARG00000115316	5S_rRNA	5	462121	462235
ENSDARG00000028348	pax3b	15	42163356	42206890
ENSDARG00000116413	smyhc3	ALT_CTG24_1_22	144937	161393
ENSDARG00000103190	psmd2	KN150158.1	121	15945
ENSDARG00000110974	U1	4	61480344	61480507
ENSDARG00000115959	arpin	ALT_CTG18_1_23	52393	57134
ENSDARG00000080823	SNORA73	20	30373865	30374084
ENSDARG00000042725	cebpb	8	28448267	28449782
ENSDARG00000115528		8	44828432	44835944
ENSDARG00000103999	Metazoa_SRP	11	12388547	12388847
ENSDARG00000110519		ALT_CTG7_1_28	144397	144930
ENSDARG00000116341		13	36537426	36545258
ENSDARG00000113233	hs3st3b1b	ALT_CTG12_1_31	214981	245186
ENSDARG00000110032	SAMD5	17	7124059	7218481
ENSDARG00000110441		16	25174628	25206048
ENSDARG00000084935	5S_rRNA	23	24849487	24849604
ENSDARG00000074782		7	64936903	64955976
ENSDARG00000098538		KN150189.1	3	9866
ENSDARG00000117006		4	47768097	47769270
ENSDARG00000010654	ARHGAP42	18	41857403	42071876
ENSDARG00000101674	5S_rRNA	10	9725774	9725891
ENSDARG00000100875	GAN	18	13077800	13102767
ENSDARG00000109339		4	53891317	53905575
ENSDARG00000103334	dre-mir-338-1	12	35710521	35710605
ENSDARG00000115575	cdc26	ALT_CTG5_1_55	164226	165441
ENSDARG00000112323		7	17466011	17499986
ENSDARG00000019772	si:ch1073-280e3.1	15	478524	496549
ENSDARG00000023797	ryr1b	18	35491473	35736591
ENSDARG00000111358	rapsn	ALT_CTG18_1_22	86548	102978
ENSDARG00000105128	mir193a-2	6	18517970	18518067
ENSDARG00000103311	fbln1	25	1732838	1807811
ENSDARG00000020043	cnot8	21	36442085	36453594
ENSDARG00000109293	vps37ba	ALT_CTG5_2_3	239755	256333
ENSDARG00000081313	mir9-7	2	59102169	59102252
ENSDARG00000099702	ahrra	24	42094833	42101600
ENSDARG00000098694		14	1070028	1098607
ENSDARG00000101282	ZSWIM6	10	44296863	44341288
ENSDARG00000040041	mcm4	24	35536664	35561672
ENSDARG00000112777	jupa	ALT_CTG11_1_3	244409	267388
ENSDARG00000069143	map3k7cl	10	25355308	25369173
ENSDARG00000113409	cutc	ALT_CTG13_1_1	46988	51096
ENSDARG00000099406	lrit1b	12	48972915	48976282
ENSDARG00000074014	plaat1l	17	5976683	5993452
ENSDARG00000115259	frmd5b	ALT_CTG7_1_26	106647	143092
ENSDARG00000117072	pbldp	ALT_CTG13_1_25	292352	295464
ENSDARG00000103791	nme2b.1	19	48117388	48120285
ENSDARG00000115224	nmbb	ALT_CTG7_1_26	53357	54988
ENSDARG00000103467	limk1a	15	168002	252813
ENSDARG00000101547		12	13553730	13556536
ENSDARG00000114987	slc35e3	ALT_CTG4_2_2	292832	297259
ENSDARG00000117040		ALT_CTG18_1_5	185588	206941
ENSDARG00000114565	kcnj11	ALT_CTG25_1_19	149085	150230
ENSDARG00000103135	stoml2	10	16857529	16868211
ENSDARG00000109893	nherf1a	ALT_CTG12_1_27	46899	107119
ENSDARG00000109687	rem2	ALT_CTG2_1_4	273345	323539
ENSDARG00000111134	hexa	ALT_CTG25_1_18	53468	77741
ENSDARG00000102474	dusp16	4	107287	119689
ENSDARG00000112837		19	10705459	10705475
ENSDARG00000113473	lmo4a	ALT_CTG5_1_26	32142	43442
ENSDARG00000113116	or42b2	ALT_CTG10_1_33	120508	121404
ENSDARG00000061956		10	29259882	29264023
ENSDARG00000115371		22	6232552	6237393
ENSDARG00000076041	wwc1	21	36465939	36571804
ENSDARG00000061505	mrps9	6	14980761	15029092
ENSDARG00000116698	vtg4	ALT_CTG22_1_11	120496	127840
ENSDARG00000006206	pou4f3	9	54290896	54292162
ENSDARG00000106298		22	4735436	4742866
ENSDARG00000112702		5	817016	822281
ENSDARG00000059899		6	54459413	54465377
ENSDARG00000043249	irf1b	21	45626136	45633317
ENSDARG00000116141	nog3	ALT_CTG12_1_26	196962	197633
ENSDARG00000090770		2	27811038	27855576
ENSDARG00000117107		5	4564233	4571382
ENSDARG00000116499	fancc	ALT_CTG8_1_15	303695	340782
ENSDARG00000114117	cox17	ALT_CTG9_1_7	106273	107920
ENSDARG00000113999		ALT_CTG5_1_13	261586	299357
ENSDARG00000110912		20	31985461	31990453
ENSDARG00000090064	TMEM179	17	46451371	46457622
ENSDARG00000106606		13	19871646	19878728
ENSDARG00000103727	tfr2	23	44940700	44965582
ENSDARG00000114872	tefm	ALT_CTG6_2_4	294106	298952
ENSDARG00000053953	myadml2	3	57991074	57991985
ENSDARG00000103739	bahcc1a	3	57038033	57174041
ENSDARG00000084859	5S_rRNA	23	18289074	18289201
ENSDARG00000108079	5S_rRNA	7	45740492	45740608
ENSDARG00000116455		11	12251840	12252838
ENSDARG00000110436	eif1ad	ALT_CTG14_1_1	79397	81684
ENSDARG00000113516		ALT_CTG5_1_26	167181	202844
ENSDARG00000101268	5S_rRNA	6	46749506	46749624
ENSDARG00000101749	zgc:92161	3	49043917	49058326
ENSDARG00000116162		ALT_CTG6_1_4	108288	150166
ENSDARG00000114947		KN147632.2	95132	100076
ENSDARG00000111625	wu:fc75a09	1	52754085	52763447
ENSDARG00000116981	zgc:113274	ALT_CTG10_1_1	202581	205406
ENSDARG00000111957		ALT_CTG16_1_15	291687	294051
ENSDARG00000113390		ALT_CTG11_1_5	71038	71972
ENSDARG00000114870		14	51098036	51115196
ENSDARG00000113541	5S_rRNA	18	9111816	9111932
ENSDARG00000116443		19	40171960	40210392
ENSDARG00000098720	LPL	2	55365727	55390332
ENSDARG00000099322	slc37a3	KN149790.1	22627	67604
ENSDARG00000113447		ALT_CTG2_1_3	38431	41036
ENSDARG00000115043	trim8b	ALT_CTG12_1_28	53992	67680
ENSDARG00000109130	5S_rRNA	19	22769111	22769227
ENSDARG00000112746	fbxo11b	ALT_CTG12_1_16	181788	242031
ENSDARG00000114521		4	41265205	41269844
ENSDARG00000102631	hoxc11b	11	2180072	2185174
ENSDARG00000110276	arhgef9b	ALT_CTG14_1_3	230945	283694
ENSDARG00000110719		ALT_CTG13_2_6	13464	27029
ENSDARG00000081926	SNORD33	17	24617464	24617542
ENSDARG00000021997	cfap206	20	2648405	2667902
ENSDARG00000115524		4	56621120	56703300
ENSDARG00000056855	gatc	5	20103085	20108469
ENSDARG00000116600		ALT_CTG18_1_23	301568	341832
ENSDARG00000109398	5S_rRNA	18	18251499	18251615
ENSDARG00000078302	brinp1	5	71252856	71460556
ENSDARG00000109234		17	12687687	12718547
ENSDARG00000114823	PLXNA1	6	1285832	1432200
ENSDARG00000101139	agpat2	21	7188943	7223168
ENSDARG00000082739	SNORD36	5	33284556	33284626
ENSDARG00000044355		9	24708653	24710074
ENSDARG00000115461	ephx4	ALT_CTG6_1_19	49412	77775
ENSDARG00000109011	5S_rRNA	5	67011063	67011179
ENSDARG00000110098	znf207b	ALT_CTG6_2_4	345973	357833
ENSDARG00000102657	lman2la	5	72377851	72383552
ENSDARG00000109609		ALT_CTG19_1_1	95734	100764
ENSDARG00000116839	pbrm1l	ALT_CTG6_2_15	254425	276840
ENSDARG00000107234	5S_rRNA	13	32984654	32984769
ENSDARG00000103350	trim24	4	74141400	74205303
ENSDARG00000090632	crlf2	9	34836068	34842414
ENSDARG00000115535	taar20h	ALT_CTG10_1_35	112867	113865
ENSDARG00000109332		21	29918658	29940453
ENSDARG00000084399	5S_rRNA	9	55231078	55231198
ENSDARG00000098333	U1	KN149688.2	58242	58405
ENSDARG00000099519	cpdp	2	13907452	13940917
ENSDARG00000112668	5S_rRNA	1	13782930	13783046
ENSDARG00000027161		24	39700552	39701027
ENSDARG00000080902	U1	4	31233116	31233279
ENSDARG00000115854	5S_rRNA	25	14940788	14940902
ENSDARG00000113016		4	30718997	30724331
ENSDARG00000111460		4	68564654	68564988
ENSDARG00000069113		21	36801620	36972127
ENSDARG00000104764	5S_rRNA	KN150158.1	86505	86625
ENSDARG00000101761	5S_rRNA	15	11565391	11565509
ENSDARG00000116182		ALT_CTG4_2_4	311211	389476
ENSDARG00000117111	tspan14	ALT_CTG13_1_22	415821	425368
ENSDARG00000117119		ALT_CTG6_3_6	267097	326246
ENSDARG00000110335	cidec	ALT_CTG6_1_11	439695	448051
ENSDARG00000085581	5S_rRNA	10	38488708	38488829
ENSDARG00000109385	U1	4	43143873	43144021
ENSDARG00000098650	iqgap3	16	55208398	55259199
